date,source,target,outflow_usd
2025-11-17,osmosis,celestia,10519.53336594264
2025-11-17,osmosis,coreum,1565.896337082246
2025-11-17,osmosis,cosmos,162639.96079436303
2025-11-17,osmosis,injective,862.2779504974701
2025-11-17,osmosis,kava,4148.815262360808
2025-11-17,osmosis,mantra,994.977735870924
2025-11-17,osmosis,neutron,10464.56909183036
2025-11-17,osmosis,saga,523.393786818162
2025-11-17,osmosis,sei,0.053227005702
2025-11-17,osmosis,stride,2863.94631631381
2025-11-17,osmosis,terra,1977.2912561541623
2025-11-17,saga,axelar,27.470382772252
2025-11-17,saga,osmosis,459.581066269668
2025-11-17,sei,osmosis,0.088526462097
2025-11-17,stride,celestia,316.71023159776
2025-11-17,stride,cosmos,732.512334134581
2025-11-17,stride,injective,4.399550023665797
2025-11-17,stride,neutron,5.635518306418001
2025-11-17,stride,osmosis,2353.8033974805353
2025-11-17,stride,terra,0.09439689559300002
2025-11-17,terra,axelar,819.450306452114
2025-11-17,terra,cosmos,1260.3300742116721
2025-11-17,terra,injective,7.569146426441661
2025-11-17,terra,kava,39.909226298051
2025-11-17,terra,neutron,1050.329929854671
2025-11-17,terra,osmosis,304.839643460921
2025-11-17,terra,stride,0.09571958131300001
2025-11-18,akash,kava,90.308844763256
2025-11-18,akash,osmosis,48615.03771640944
2025-11-18,atomone,osmosis,218478.7641414
2025-11-18,axelar,neutron,5054.032784487959
2025-11-18,axelar,osmosis,105849.9978736536
2025-11-18,axelar,terra,4127.344586919287
2025-11-18,celestia,injective,5190.8625323187125
2025-11-18,celestia,neutron,3852.2732417970124
2025-11-18,celestia,osmosis,30468.438093766617
2025-11-18,celestia,stride,3504.878646864966
2025-11-18,coreum,cosmos,28.527393972000002
2025-11-18,coreum,osmosis,568.639902532086
2025-11-18,cosmos,axelar,630054.3841200001
2025-11-18,cosmos,coreum,900.6228000000001
2025-11-18,cosmos,injective,35493.046184700004
2025-11-18,cosmos,kava,9729.585753300002
2025-11-18,cosmos,mantra,12315.1300479
2025-11-18,cosmos,neutron,240562.26809100003
2025-11-18,cosmos,osmosis,6778491.556356001
2025-11-18,cosmos,stride,129784.34691450001
2025-11-18,cosmos,terra,29405.575098000005
2025-11-18,injective,celestia,41050.31992596
2025-11-18,injective,cosmos,81634.00622481
2025-11-18,injective,kava,2223.0946621800003
2025-11-18,injective,neutron,1.16761041
2025-11-18,injective,osmosis,39159.33101505
2025-11-18,injective,stride,782.0440700355
2025-11-18,injective,terra,591.2797423941
2025-11-18,kava,akash,21.78486739284
2025-11-18,kava,cosmos,459.939139860165
2025-11-18,kava,injective,45.691576039830004
2025-11-18,kava,osmosis,5859.048575099505
2025-11-18,kava,terra,1433.915573042595
2025-11-18,mantra,cosmos,361.63151327694493
2025-11-18,mantra,osmosis,716.9636214543699
2025-11-18,neutron,axelar,1334.5208088903146
2025-11-18,neutron,celestia,173.3344390705269
2025-11-18,neutron,cosmos,3148.08248251834
2025-11-18,neutron,injective,0.0066433741961499995
2025-11-18,neutron,osmosis,2243.0210786826947
2025-11-18,neutron,stride,0.0799413361092296
2025-11-18,neutron,terra,254.02428870593974
2025-11-18,osmosis,akash,8369.343879144031
2025-11-18,osmosis,atomone,13538.10350127618
2025-11-18,osmosis,axelar,72054.60239973421
2025-11-18,osmosis,celestia,3534.28480879389
2025-11-18,osmosis,coreum,605.6480722348981
2025-11-18,osmosis,cosmos,224464.79027132998
2025-11-18,osmosis,injective,574.393607541045
2025-11-18,osmosis,kava,4488.009342271695
2025-11-18,osmosis,mantra,823.705610325498
2025-11-18,osmosis,neutron,5782.51718389467
2025-11-18,osmosis,saga,203.73440778243898
2025-11-18,osmosis,sei,3.5022382402590004
2025-11-18,osmosis,stride,6088.60885561803
2025-11-18,osmosis,terra,3300.431979287997
2025-11-18,saga,osmosis,177.29046940116598
2025-11-18,sei,osmosis,5.677617675708
2025-11-18,stride,celestia,283.46123712053696
2025-11-18,stride,cosmos,3052.7681808122147
2025-11-18,stride,injective,7.99788032912795
2025-11-18,stride,neutron,0.14368926390545597
2025-11-18,stride,osmosis,4245.09501489143
2025-11-18,stride,terra,0.154502218349
2025-11-18,terra,axelar,1788.3589195983
2025-11-18,terra,cosmos,833.2668706474
2025-11-18,terra,injective,7.2848330258570995
2025-11-18,terra,kava,859.55169423347
2025-11-18,terra,neutron,550.06129736215
2025-11-18,terra,osmosis,1189.9973981725898
2025-11-18,terra,stride,0.18613054411
2025-11-19,akash,kava,98.965950361956
2025-11-19,akash,osmosis,20302.72867763508
2025-11-19,atomone,osmosis,83267.3505384
2025-11-19,axelar,cosmos,3.2057528
2025-11-19,axelar,neutron,3468.7984831431
2025-11-19,axelar,osmosis,74109.3679142996
2025-11-19,axelar,saga,829.1830406415539
2025-11-19,axelar,sei,0.000167887485
2025-11-19,axelar,terra,1256.6308297749458
2025-11-19,celestia,injective,2789.3332448178085
2025-11-19,celestia,neutron,61612.14389831241
2025-11-19,celestia,osmosis,40671.78870066611
2025-11-19,celestia,stride,1117.091666457234
2025-11-19,coreum,cosmos,58.817899416
2025-11-19,coreum,osmosis,1706.717177622784
2025-11-19,cosmos,axelar,709447.4486718
2025-11-19,cosmos,coreum,1889.3138399999998
2025-11-19,cosmos,injective,15745.140572519998
2025-11-19,cosmos,kava,5622.714779999999
2025-11-19,cosmos,mantra,23475.64589076
2025-11-19,cosmos,neutron,487849.1097156
2025-11-19,cosmos,osmosis,2135800.9364124
2025-11-19,cosmos,stride,36307.96442148
2025-11-19,cosmos,terra,17977.8111306
2025-11-19,injective,celestia,23321.800233600003
2025-11-19,injective,cosmos,37651.4231082
2025-11-19,injective,kava,378.7052412
2025-11-19,injective,neutron,395.9012838
2025-11-19,injective,osmosis,44200.8854364
2025-11-19,injective,stride,46.69509706619999
2025-11-19,injective,terra,434.2222261079999
2025-11-19,kava,akash,23.722428488181
2025-11-19,kava,cosmos,263.8662632065
2025-11-19,kava,injective,7.431975599386
2025-11-19,kava,osmosis,2407.1638781107786
2025-11-19,kava,terra,116.005356196278
2025-11-19,mantra,cosmos,691.8255832669371
2025-11-19,mantra,osmosis,115.25186415586901
2025-11-19,neutron,axelar,907.9207679606428
2025-11-19,neutron,celestia,2822.8966518889774
2025-11-19,neutron,cosmos,6392.744685036175
2025-11-19,neutron,injective,2.1694712521254096
2025-11-19,neutron,osmosis,2078.573238227091
2025-11-19,neutron,stride,7.3064351642563095
2025-11-19,neutron,terra,185.5445958052507
2025-11-19,osmosis,akash,3418.8441247246096
2025-11-19,osmosis,atomone,5696.67631040568
2025-11-19,osmosis,axelar,48801.0876898084
2025-11-19,osmosis,celestia,4688.23575883937
2025-11-19,osmosis,coreum,1807.363515537856
2025-11-19,osmosis,cosmos,68707.7924395979
2025-11-19,osmosis,injective,609.376176779314
2025-11-19,osmosis,kava,1859.1110760280433
2025-11-19,osmosis,mantra,128.93126586186702
2025-11-19,osmosis,neutron,5229.4118213580905
2025-11-19,osmosis,saga,274.017622266491
2025-11-19,osmosis,sei,4.2099899681820006
2025-11-19,osmosis,stride,4379.23055941597
2025-11-19,osmosis,terra,962.9260898608289
2025-11-19,saga,axelar,496.073235468168
2025-11-19,saga,osmosis,248.95307005666803
2025-11-19,saga,stride,1.1734970604000001
2025-11-19,sei,axelar,0.000182968065
2025-11-19,sei,osmosis,6.967574807382
2025-11-19,stride,celestia,89.82748780155
2025-11-19,stride,cosmos,835.017406396175
2025-11-19,stride,injective,0.449086558526825
2025-11-19,stride,neutron,12.823226672675002
2025-11-19,stride,osmosis,3054.9357602282503
2025-11-19,stride,saga,0.9010466675000001
2025-11-19,stride,terra,0.182813395375
2025-11-19,terra,axelar,386.300573642208
2025-11-19,terra,cosmos,508.04252063125995
2025-11-19,terra,injective,5.131454052654479
2025-11-19,terra,kava,69.855961967256
2025-11-19,terra,neutron,400.137924416084
2025-11-19,terra,osmosis,229.47670785018
2025-11-19,terra,stride,0.22463510965999997
2025-11-20,akash,cosmos,11.115136126134
2025-11-20,akash,kava,138.820091521368
2025-11-20,akash,osmosis,36116.52702955701
2025-11-20,atomone,osmosis,83867.29807199999
2025-11-20,axelar,celestia,0.44582609218
2025-11-20,axelar,cosmos,0.000168319519
2025-11-20,axelar,neutron,5582.38434612109
2025-11-20,axelar,osmosis,87390.4648931134
2025-11-20,axelar,saga,729.898031474523
2025-11-20,axelar,terra,3746.089511672509
2025-11-20,celestia,axelar,2.47058652848
2025-11-20,celestia,injective,4010.110250544192
2025-11-20,celestia,neutron,8537.723681593552
2025-11-20,celestia,osmosis,106786.25132826375
2025-11-20,celestia,stride,810.7851734491361
